State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Anantapur,"Mousambi(Sweet Lime)",Mousambi,Medium,14/08/2025,900,1900,1300
"Andhra Pradesh",Chittor,Kalikiri,Tomato,Hybrid,FAQ,14/08/2025,3360,4200,3800
"Andhra Pradesh",Chittor,Punganur,Tomato,Hybrid,FAQ,14/08/2025,3200,4000,3600
"Andhra Pradesh",Chittor,Tirupati,Banana,Bhushavali(Pacha),Small,14/08/2025,7500,10000,8500
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Amruthapani,Large,14/08/2025,2200,3200,2800
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Chakkarakeli(Red),Large,14/08/2025,1800,2600,2400
"Andhra Pradesh",Guntur,Duggirala,Turmeric,Bulb,FAQ,14/08/2025,9800,10500,10200
"Andhra Pradesh",Guntur,Duggirala,Turmeric,Finger,FAQ,14/08/2025,9800,10200,9900
"Andhra Pradesh",Guntur,Pidugurala(Palnadu),"Dry Chillies",Red,FAQ,14/08/2025,10000,14000,13000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Bitter gourd","Bitter Gourd",FAQ,14/08/2025,2000,3000,2600
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Brinjal,Other,FAQ,14/08/2025,1000,1800,1500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,FAQ,14/08/2025,800,1800,1500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,14/08/2025,800,2000,1500
Gujarat,Ahmedabad,Ahmedabad,"Banana - Green",Other,FAQ,14/08/2025,500,1200,850
Gujarat,Ahmedabad,Ahmedabad,"Elephant Yam (Suran)",Other,FAQ,14/08/2025,4500,5000,4750
Gujarat,Ahmedabad,Ahmedabad,Lemon,Other,FAQ,14/08/2025,1500,3000,2250
Gujarat,Ahmedabad,Ahmedabad,Pumpkin,Other,FAQ,14/08/2025,500,700,600
Gujarat,Ahmedabad,Viramgam,"Cummin Seed(Jeera)",Other,FAQ,14/08/2025,16125,18000,17065
Gujarat,Amreli,Damnagar,Cauliflower,Cauliflower,FAQ,14/08/2025,4250,5050,4800
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Guar,Other,FAQ,14/08/2025,3000,6000,5000
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Tinda,Other,FAQ,14/08/2025,2000,3000,2500
Gujarat,Banaskanth,Vadgam,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,14/08/2025,1815,2260,1955
Gujarat,Banaskanth,Vadgam,Wheat,"147 Average",FAQ,14/08/2025,2625,2700,2700
Gujarat,Bharuch,Bharuch,Cucumbar(Kheera),Other,FAQ,14/08/2025,800,1200,1000
Gujarat,Bharuch,Bharuch,Guava,Other,Medium,14/08/2025,1300,2000,1500
Gujarat,Bharuch,Bharuch,"Mousambi(Sweet Lime)",Other,Medium,14/08/2025,1500,1900,1700
Gujarat,Bharuch,Jambusar,Cotton,Other,FAQ,14/08/2025,5000,6000,5500
Gujarat,Botad,Botad,"Castor Seed",Other,FAQ,14/08/2025,5575,5575,5575
Gujarat,Botad,Botad,"Corriander seed",Other,FAQ,14/08/2025,4000,5500,4750
Gujarat,Botad,Botad,Wheat,Other,Non-FAQ,14/08/2025,2500,2725,2600
Gujarat,"Chhota Udaipur",Kalediya,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,14/08/2025,6750,6925,6850
Gujarat,"Chhota Udaipur","Modasar        ",Cotton,"Shanker 6 (B) 30mm FIne",FAQ,14/08/2025,6850,7025,6950
Gujarat,Dahod,"Dahod(Veg. Market)",Brinjal,Brinjal,FAQ,14/08/2025,300,3000,1650
Gujarat,Dahod,"Dahod(Veg. Market)",Garlic,Other,FAQ,14/08/2025,4000,10000,7000
Gujarat,Dahod,"Dahod(Veg. Market)","Onion Green","Onion Green",FAQ,14/08/2025,1000,3000,2000
Gujarat,Dahod,"Dahod(Veg. Market)","Pointed gourd (Parval)",Other,FAQ,14/08/2025,3500,5000,4250
Gujarat,Dahod,"Dahod(Veg. Market)",Potato,Potato,FAQ,14/08/2025,1000,1500,1250
Gujarat,Dahod,"Dahod(Veg. Market)",Tomato,Tomato,FAQ,14/08/2025,2000,4500,3500
Gujarat,Gandhinagar,Dehgam,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,14/08/2025,2420,2530,2475
Gujarat,Gandhinagar,Dehgam,"Castor Seed",Other,FAQ,14/08/2025,6300,6350,6325
Gujarat,Gandhinagar,Dehgam,Wheat,Other,FAQ,14/08/2025,2690,2720,2705
Gujarat,Gandhinagar,Dehgam(Rekhiyal),Guar,Other,FAQ,14/08/2025,4350,4575,4462
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)","Green Chilli",Other,FAQ,14/08/2025,2000,4000,2500
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Ridgeguard(Tori),Other,FAQ,14/08/2025,2000,2000,2000
Gujarat,Kachchh,Anjar,"Cummin Seed(Jeera)",Other,FAQ,14/08/2025,11100,18100,18100
Gujarat,Kachchh,Bachau,"Castor Seed","Castor seed",FAQ,14/08/2025,6400,6435,6415
Gujarat,Mehsana,Kadi,Mustard,Mustard,FAQ,14/08/2025,6000,6000,6000
Gujarat,Mehsana,Unava,"Castor Seed",Other,FAQ,14/08/2025,6500,6520,6505
Gujarat,Mehsana,Visnagar,Jowar(Sorghum),Other,FAQ,14/08/2025,1700,7000,4350
Gujarat,Morbi,Morbi,Cabbage,Cabbage,FAQ,14/08/2025,1300,1700,1500
Gujarat,Morbi,Morbi,Tomato,Tomato,FAQ,14/08/2025,3500,4500,4000
Gujarat,Navsari,Navsari,Capsicum,Capsicum,FAQ,14/08/2025,3000,3500,3250
Gujarat,Patan,Patan,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,14/08/2025,1750,2785,2675
Gujarat,Patan,Patan,"Castor Seed",Other,FAQ,14/08/2025,6300,6555,6475
Gujarat,Patan,Patan,Mustard,Other,FAQ,14/08/2025,6250,6550,6450
Gujarat,Patan,Patan,Soanf,Other,FAQ,14/08/2025,5255,7200,7000
