State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,lat,lon,NDVI,ndvi_mean
Andhra Pradesh,Anantapur,Anantapur,Mousambi(Sweet Lime),Mousambi,Medium,14/08/2025,900.0,1900.0,1300.0,14.72422,77.4306738,,
Andhra Pradesh,Chittor,Kalikiri,Tomato,Hybrid,FAQ,14/08/2025,3360.0,4200.0,3800.0,13.2162432,79.1050786,,
Andhra Pradesh,Chittor,Punganur,Tomato,Hybrid,FAQ,14/08/2025,3200.0,4000.0,3600.0,13.2162432,79.1050786,,
Andhra Pradesh,Chittor,Tirupati,Banana,Bhushavali(Pacha),Small,14/08/2025,7500.0,10000.0,8500.0,13.2162432,79.1050786,,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Amruthapani,Large,14/08/2025,2200.0,3200.0,2800.0,16.9956638,81.7154378,,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Chakkarakeli(Red),Large,14/08/2025,1800.0,2600.0,2400.0,16.9956638,81.7154378,,
Andhra Pradesh,Guntur,Duggirala,Turmeric,Bulb,FAQ,14/08/2025,9800.0,10500.0,10200.0,16.2915189,80.4541588,,
Andhra Pradesh,Guntur,Duggirala,Turmeric,Finger,FAQ,14/08/2025,9800.0,10200.0,9900.0,16.2915189,80.4541588,,
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,Red,FAQ,14/08/2025,10000.0,14000.0,13000.0,16.2915189,80.4541588,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Bitter gourd,Bitter Gourd,FAQ,14/08/2025,2000.0,3000.0,2600.0,30.7334421,76.7797143,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Brinjal,Other,FAQ,14/08/2025,1000.0,1800.0,1500.0,30.7334421,76.7797143,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,FAQ,14/08/2025,800.0,1800.0,1500.0,30.7334421,76.7797143,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,14/08/2025,800.0,2000.0,1500.0,30.7334421,76.7797143,,
Gujarat,Ahmedabad,Ahmedabad,Banana - Green,Other,FAQ,14/08/2025,500.0,1200.0,850.0,23.0215374,72.5800568,,
Gujarat,Ahmedabad,Ahmedabad,Elephant Yam (Suran),Other,FAQ,14/08/2025,4500.0,5000.0,4750.0,23.0215374,72.5800568,,
Gujarat,Ahmedabad,Ahmedabad,Lemon,Other,FAQ,14/08/2025,1500.0,3000.0,2250.0,23.0215374,72.5800568,,
Gujarat,Ahmedabad,Ahmedabad,Pumpkin,Other,FAQ,14/08/2025,500.0,700.0,600.0,23.0215374,72.5800568,,
Gujarat,Ahmedabad,Viramgam,Cummin Seed(Jeera),Other,FAQ,14/08/2025,16125.0,18000.0,17065.0,23.0215374,72.5800568,,
Gujarat,Amreli,Damnagar,Cauliflower,Cauliflower,FAQ,14/08/2025,4250.0,5050.0,4800.0,21.4176122,71.249609,,
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Guar,Other,FAQ,14/08/2025,3000.0,6000.0,5000.0,22.5586555,72.9627227,,
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Tinda,Other,FAQ,14/08/2025,2000.0,3000.0,2500.0,22.5586555,72.9627227,,
Gujarat,Banaskanth,Vadgam,Bajra(Pearl Millet/Cumbu),Other,FAQ,14/08/2025,1815.0,2260.0,1955.0,23.0,71.75,,
Gujarat,Banaskanth,Vadgam,Wheat,147 Average,FAQ,14/08/2025,2625.0,2700.0,2700.0,23.0,71.75,,
Gujarat,Bharuch,Bharuch,Cucumbar(Kheera),Other,FAQ,14/08/2025,800.0,1200.0,1000.0,21.7080427,72.9956936,,
Gujarat,Bharuch,Bharuch,Guava,Other,Medium,14/08/2025,1300.0,2000.0,1500.0,21.7080427,72.9956936,,
Gujarat,Bharuch,Bharuch,Mousambi(Sweet Lime),Other,Medium,14/08/2025,1500.0,1900.0,1700.0,21.7080427,72.9956936,,
