State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,lat,lon,NDVI,ndvi_mean,NDVI_Mean,Weather_Temp
Andhra Pradesh,Anantapur,Anantapur,Mousambi(Sweet Lime),Mousambi,Medium,14/08/2025,900.0,1900.0,1300.0,14.72422,77.4306738,,,0.773,25.491666666666664
Andhra Pradesh,Chittor,Kalikiri,Tomato,Hybrid,FAQ,14/08/2025,3360.0,4200.0,3800.0,13.2162432,79.1050786,,,0.633,24.729166666666668
Andhra Pradesh,Chittor,Punganur,Tomato,Hybrid,FAQ,14/08/2025,3200.0,4000.0,3600.0,13.2162432,79.1050786,,,0.772,24.729166666666668
Andhra Pradesh,Chittor,Tirupati,Banana,Bhushavali(Pacha),Small,14/08/2025,7500.0,10000.0,8500.0,13.2162432,79.1050786,,,0.74,24.729166666666668
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Amruthapani,Large,14/08/2025,2200.0,3200.0,2800.0,16.9956638,81.7154378,,,0.715,27.1375
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Chakkarakeli(Red),Large,14/08/2025,1800.0,2600.0,2400.0,16.9956638,81.7154378,,,0.704,
Andhra Pradesh,Guntur,Duggirala,Turmeric,Bulb,FAQ,14/08/2025,9800.0,10500.0,10200.0,16.2915189,80.4541588,,,0.562,27.429166666666664
Andhra Pradesh,Guntur,Duggirala,Turmeric,Finger,FAQ,14/08/2025,9800.0,10200.0,9900.0,16.2915189,80.4541588,,,0.524,27.429166666666664
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,Red,FAQ,14/08/2025,10000.0,14000.0,13000.0,16.2915189,80.4541588,,,0.749,27.429166666666664
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Bitter gourd,Bitter Gourd,FAQ,14/08/2025,2000.0,3000.0,2600.0,30.7334421,76.7797143,,,0.352,19.479166666666668
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Brinjal,Other,FAQ,14/08/2025,1000.0,1800.0,1500.0,30.7334421,76.7797143,,,0.378,19.479166666666668
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,FAQ,14/08/2025,800.0,1800.0,1500.0,30.7334421,76.7797143,,,0.479,19.479166666666668
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,14/08/2025,800.0,2000.0,1500.0,30.7334421,76.7797143,,,0.444,19.479166666666668
Gujarat,Ahmedabad,Ahmedabad,Banana - Green,Other,FAQ,14/08/2025,500.0,1200.0,850.0,23.0215374,72.5800568,,,0.444,22.758333333333336
Gujarat,Ahmedabad,Ahmedabad,Elephant Yam (Suran),Other,FAQ,14/08/2025,4500.0,5000.0,4750.0,23.0215374,72.5800568,,,0.334,22.758333333333336
Gujarat,Ahmedabad,Ahmedabad,Lemon,Other,FAQ,14/08/2025,1500.0,3000.0,2250.0,23.0215374,72.5800568,,,0.233,22.758333333333336
Gujarat,Ahmedabad,Ahmedabad,Pumpkin,Other,FAQ,14/08/2025,500.0,700.0,600.0,23.0215374,72.5800568,,,0.297,22.758333333333336
Gujarat,Ahmedabad,Viramgam,Cummin Seed(Jeera),Other,FAQ,14/08/2025,16125.0,18000.0,17065.0,23.0215374,72.5800568,,,0.434,22.758333333333336
Gujarat,Amreli,Damnagar,Cauliflower,Cauliflower,FAQ,14/08/2025,4250.0,5050.0,4800.0,21.4176122,71.249609,,,0.243,22.59583333333333
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Guar,Other,FAQ,14/08/2025,3000.0,6000.0,5000.0,22.5586555,72.9627227,,,0.586,21.6125
Gujarat,Anand,Khambhat(Veg Yard Khambhat),Tinda,Other,FAQ,14/08/2025,2000.0,3000.0,2500.0,22.5586555,72.9627227,,,0.45,21.6125
